,Have,Give,See,Take,Do,Call,Get,Put,Keep,Need,Love,Try,Thing,Amazing,Setting,Lose,Use,Send,Rating,Let,Remove,Unwanted,Annoying,Look,Work,Go,Texting,Working,Open,Ring,Loading,Update,Unlimited,Read,Play,Calling,Sharing,Add,King,Want,Saving,Complicated,Sound,Login,Warning,Save,Messaging,Make,Outstanding,Something
Make,0,0,1,2,2,28,1,0,0,0,1,0,2,0,1,0,1,1,1,1,0,0,0,0,2,7,0,0,0,0,0,5,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,208,0,0
Problem,33,3,1,0,4,4,3,0,0,2,2,0,1,0,0,1,6,4,0,0,0,0,0,0,4,5,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,5,0,2,0,0,0,1
Work,9,1,1,0,13,6,6,1,7,5,2,2,1,2,0,1,7,0,0,1,0,0,0,0,276,36,0,22,0,0,0,3,0,0,2,0,0,3,22,1,0,0,0,0,0,0,0,2,0,0
Chat,12,4,4,0,10,1,5,2,1,5,6,1,0,0,0,3,14,1,0,7,0,0,0,0,1,19,0,0,24,4,0,4,0,1,1,0,0,6,0,2,0,0,0,1,0,1,0,4,0,0
Change,2,0,1,0,4,3,13,0,0,1,1,1,1,0,5,0,5,1,1,1,0,0,0,0,1,3,0,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,3,1,0,2,1,3,0,0
Star,4,49,1,3,3,3,4,3,0,2,1,0,1,0,0,2,1,0,6,2,0,0,0,0,0,6,0,0,0,2,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Text,6,2,2,1,7,9,13,1,2,6,5,3,0,0,0,1,5,11,0,10,0,1,0,0,2,19,21,0,0,2,0,0,1,2,1,2,0,1,0,2,0,0,0,0,0,1,1,1,0,0
Time,14,1,5,14,4,5,9,3,0,3,0,2,0,1,0,2,13,1,0,4,0,0,0,0,1,7,0,0,1,3,3,8,0,0,2,0,0,5,1,0,2,0,0,1,0,4,0,0,0,0
Show,0,0,2,0,4,2,0,0,0,0,1,2,1,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0
Quality,4,1,1,0,0,26,2,0,1,2,3,1,0,5,0,1,5,1,0,0,0,0,0,0,1,50,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0,0,7,0,0,0,1,2,1,0
